issue_id,expected_triage_label,reviewer_agrees_with_broad_category,reviewer_notes
ISS-EVAL-001,likely_recurring,yes,"MVP triage review_needed vs manual likely_recurring. Family match OK; duplicate_key policy is blanket conservative—main delta."
ISS-EVAL-002,likely_recurring,yes,"Aligned with pipeline. KB/runbook hint applied—mapping layer useful here."
ISS-EVAL-003,likely_recurring,yes,"Aligned. File runbook hint applied—mapping useful."
ISS-EVAL-004,review_needed,yes,"Aligned (escalate phrases). No mapping—expected by guards."
ISS-EVAL-005,likely_new,yes,"No family match—aligned."
ISS-EVAL-006,review_needed,yes,"Aligned—duplicate family to review_needed."
ISS-EVAL-007,likely_recurring,partly,"Pipeline likely_recurring + mapping_ready false. Matches intent: family yes, grounded refs intentionally withheld for this row."
ISS-EVAL-008,review_needed,yes,"Aligned."
ISS-EVAL-009,review_needed,yes,"Aligned; mapping correctly blocked."
ISS-EVAL-010,review_needed,yes,"Aligned; mapping blocked."
ISS-EVAL-011,review_needed,partly,"Aligned triage; no duplicate mapping (by design)."
ISS-EVAL-012,review_needed,yes,"Aligned; mapping blocked—appropriate."
