issue_id,environment,detected_at,source_system,raw_message_text,object_affected,module_or_domain,severity_hint,broad_category,why_this_category,would_match_family
ISS-EVAL-001,prod,2025-03-10T06:12:00Z,BW_LOAD,"Duplicate key violation for business key BK_MARA_001 in target ZSALES01","ZSALES01","BW DTP load",MEDIUM,known_recurring,"Stable recurring duplicate-key on fact target; wording and object are canonical for this family.",yes
ISS-EVAL-002,prod,2025-03-10T06:45:22Z,ORCH_SCHED,"Job ID 88412 exceeded timeout threshold (3600s) and was terminated by watchdog","Nightly_Fact_Cube","Orchestrator",HIGH,known_recurring,"Clear timeout/watchdog termination pattern on a recurring nightly job.",yes
ISS-EVAL-003,prod,2025-03-10T07:03:11Z,FILE_INTAKE,"Reference file missing at expected path: /inbound/vendor_a/partners_20250310.csv","partners_20250310.csv","SFTP intake",MEDIUM,known_recurring,"Clean reference-file-missing path; stable intake family wording.",yes
ISS-EVAL-004,prod,2025-03-10T07:18:00Z,ORCH_SCHED,"Job ID 92001 exceeded timeout threshold (3600s) and was terminated by watchdog (first production run of CloudExtract_Delta; no prior baseline for this job family)","CloudExtract_Delta","Orchestrator",HIGH,likely_new,"Surface form matches timeout family but job family is new; false-match pressure vs recurring timeout rules.",maybe
ISS-EVAL-005,prod,2025-03-10T07:29:44Z,LEGACY_API,"First observed failure: GraphQL schema drift on legacy API v2 (field customerSegment removed)","CustomerAPI_v2","API gateway",MEDIUM,likely_new,"First-time schema drift; no stable recurring pattern yet.",no
ISS-EVAL-006,prod,2025-03-10T07:40:00Z,BW_LOAD,"Duplicate key violation reported in staging layer; full SQL and source row context not provided in alert body","STG_CUST","BW staging",MEDIUM,review_needed,"Familiar duplicate-key surface but insufficient context to treat as safe recurring.",maybe
ISS-EVAL-007,prod,2025-03-10T07:55:30Z,ORCH_SCHED,"Job ID 88419 exceeded timeout threshold (3600s) and was terminated by watchdog","Adhoc_Cube_Refresh","Orchestrator",HIGH,missing_mapping,"Timeout family matches; grounded KB/ticket/owner mapping not established for this job/object in v1.",yes
ISS-EVAL-008,prod,2025-03-10T08:08:02Z,BW_LOAD,"Duplicate key violation for business key BK_MARA_001 in target ZAUDIT_REPLAY (replay job reinserted same logical row; differs from fact-table duplicate handling)","ZAUDIT_REPLAY","BW DTP load",HIGH,safety_challenge,"Look-alike duplicate-key form but replay semantics differ; must not auto-downgrade to benign recurring.",maybe
ISS-EVAL-009,uat,2025-03-10T08:22:00Z,FILE_INTAKE,"Reference file missing at expected path: /inbound/vendor_a/partners_20250310.csv — vendor portal shows upload completed; possible AV scan or delayed handoff (unclear which)","partners_20250310.csv","SFTP intake",MEDIUM,review_needed,"Same file-missing wording as prod intake but conflicting signals; not safe to auto-match as simple missing file. UAT posture differs from prod.",maybe
ISS-EVAL-010,prod,2025-03-10T08:35:00Z,ORCH_SCHED,"Job ID 88412 exceeded timeout threshold (3600s) and was terminated by watchdog. Intermittent storage latency to /data/cube reported in same window; root cause not isolated.","Nightly_Fact_Cube","Orchestrator",CRITICAL,review_needed,"Same job object as known timeout but severity and cause chain diverge; same handling posture must not be assumed.",maybe
ISS-EVAL-011,stage,2025-03-10T08:48:00Z,BW_LOAD,"Duplicate key violation for business key BK_MARA_001 in target ZSTAGING_SALES","ZSTAGING_SALES","BW DTP load",MEDIUM,missing_mapping,"Duplicate-key family recognizable; no grounded mapping for this staging object yet (second family vs timeout-only missing mapping).",yes
ISS-EVAL-012,test,2025-03-10T09:00:00Z,FILE_INTAKE,"Reference file missing at expected path: /inbound/vendor_a/partners_20250310.csv — TEST cutover: diagnostic shows permission denied on share; unclear if missing file vs ACL regression (do not apply prod file-missing playbook)","partners_20250310.csv","SFTP intake",HIGH,safety_challenge,"Non-prod mixed signal: file-missing surface form with permission/ACL ambiguity; tests false-safe match and environment-aware caution.",maybe
